Time,[新设备1] 温度1,[新设备1] 灯1-8
2026-01-13 09:42:25.892,15,8308
2026-01-13 09:42:26.000,15,8308
2026-01-13 09:42:26.109,15,8308
2026-01-13 09:42:26.218,15,8308
2026-01-13 09:42:26.330,15,8309
2026-01-13 09:42:26.439,15,8309
2026-01-13 09:42:26.547,15,8309
2026-01-13 09:42:26.655,15,8309
2026-01-13 09:42:26.804,15,8310
2026-01-13 09:42:26.908,15,8310
2026-01-13 09:42:26.990,15,8310
2026-01-13 09:42:27.096,15,8310
2026-01-13 09:42:27.212,15,8310
2026-01-13 09:42:27.311,15,8310
2026-01-13 09:42:27.424,15,8310
2026-01-13 09:42:27.530,15,8311
2026-01-13 09:42:27.645,15,8311
2026-01-13 09:42:27.751,15,8311
2026-01-13 09:42:27.971,15,8312
2026-01-13 09:42:27.972,15,8312
2026-01-13 09:42:28.077,15,8312
2026-01-13 09:42:28.196,15,8312
2026-01-13 09:42:28.302,15,8312
2026-01-13 09:42:28.411,15,8312
2026-01-13 09:42:28.521,15,8313
2026-01-13 09:42:28.625,15,8313
2026-01-13 09:42:28.734,15,8313
2026-01-13 09:42:28.846,15,8313
2026-01-13 09:42:28.952,15,8314
2026-01-13 09:42:29.062,15,8314
2026-01-13 09:42:29.172,15,8314
2026-01-13 09:42:29.300,15,8314
2026-01-13 09:42:29.432,15,8315
2026-01-13 09:42:29.501,15,8315
2026-01-13 09:42:29.609,15,8315
2026-01-13 09:42:29.723,15,8315
2026-01-13 09:42:29.833,15,8315
2026-01-13 09:42:29.938,15,8316
2026-01-13 09:42:30.046,15,8316
2026-01-13 09:42:30.162,15,8316
2026-01-13 09:42:30.269,15,8316
2026-01-13 09:42:30.373,15,8316
2026-01-13 09:42:30.483,15,8317
2026-01-13 09:42:30.597,15,8317
2026-01-13 09:42:30.707,15,8317
2026-01-13 09:42:30.812,15,8317
2026-01-13 09:42:30.922,15,8318
2026-01-13 09:42:31.036,15,8318
2026-01-13 09:42:31.143,15,8318
2026-01-13 09:42:31.249,15,8318
2026-01-13 09:42:31.360,15,8318
2026-01-13 09:42:31.473,15,8319
2026-01-13 09:42:31.577,15,8319
2026-01-13 09:42:31.911,15,8320
2026-01-13 09:42:32.018,15,8320
2026-01-13 09:42:32.126,15,8320
2026-01-13 09:42:32.241,15,8320
2026-01-13 09:42:32.347,15,8320
2026-01-13 09:42:32.458,15,8321
2026-01-13 09:42:32.562,15,8321
2026-01-13 09:42:32.672,15,8321
2026-01-13 09:42:32.792,15,8321
2026-01-13 09:42:32.893,15,8322
2026-01-13 09:42:33.000,15,8322
2026-01-13 09:42:33.111,15,8322
2026-01-13 09:42:33.218,15,8322
2026-01-13 09:42:33.327,15,8322
2026-01-13 09:42:33.438,15,8323
2026-01-13 09:42:33.548,15,8323
2026-01-13 09:42:33.656,15,8323
2026-01-13 09:42:33.770,15,8323
2026-01-13 09:42:33.877,15,8324
2026-01-13 09:42:33.984,15,8324
2026-01-13 09:42:34.097,15,8324
2026-01-13 09:42:34.203,15,8324
2026-01-13 09:42:34.313,15,8324
2026-01-13 09:42:34.421,15,8325
2026-01-13 09:42:34.530,15,8325
2026-01-13 09:42:34.646,15,8325
2026-01-13 09:42:34.753,15,8325
2026-01-13 09:42:34.858,15,8325
2026-01-13 09:42:34.973,15,8325
2026-01-13 09:42:35.082,15,8326
2026-01-13 09:42:35.186,15,8326
2026-01-13 09:42:35.296,15,8326
2026-01-13 09:42:35.412,15,8326
2026-01-13 09:42:35.516,15,8326
2026-01-13 09:42:35.625,15,8327
2026-01-13 09:42:35.733,15,8327
2026-01-13 09:42:35.847,15,8327
2026-01-13 09:42:35.953,15,8327
2026-01-13 09:42:36.069,15,8328
2026-01-13 09:42:36.172,15,8328
2026-01-13 09:42:36.305,15,8328
2026-01-13 09:42:36.394,15,8328
2026-01-13 09:42:36.500,15,8328
2026-01-13 09:42:36.608,15,8329
2026-01-13 09:42:36.722,15,8329
2026-01-13 09:42:36.827,15,8329
2026-01-13 09:42:36.938,15,8329
2026-01-13 09:42:37.074,15,8330
2026-01-13 09:42:37.157,15,8330
2026-01-13 09:42:37.264,15,8330
2026-01-13 09:42:37.378,15,8330
2026-01-13 09:42:37.483,15,8330
2026-01-13 09:42:37.597,15,8331
2026-01-13 09:42:37.706,15,8331
2026-01-13 09:42:37.811,15,8331
2026-01-13 09:42:37.925,15,8331
2026-01-13 09:42:38.031,15,8332
2026-01-13 09:42:38.140,15,8332
2026-01-13 09:42:38.257,15,8332
2026-01-13 09:42:38.363,15,8332
2026-01-13 09:42:38.472,15,8332
2026-01-13 09:42:38.581,15,8333
2026-01-13 09:42:38.686,15,8333
2026-01-13 09:42:38.797,15,8333
2026-01-13 09:42:38.910,15,8333
2026-01-13 09:42:39.015,15,8334
2026-01-13 09:42:39.126,15,8334
2026-01-13 09:42:39.255,15,8334
2026-01-13 09:42:39.345,15,8334
2026-01-13 09:42:39.457,15,8334
2026-01-13 09:42:39.570,15,8335
2026-01-13 09:42:39.674,15,8335
2026-01-13 09:42:39.792,15,8335
2026-01-13 09:42:39.895,15,8335
2026-01-13 09:42:40.003,15,8336
2026-01-13 09:42:40.112,15,8336
2026-01-13 09:42:40.232,15,8336
2026-01-13 09:42:40.351,15,8336
